aas	ay
australier	australian
authentisch	authentic
auto	auto	cart
autobahn	autobahn
autobus	autobus
autodidakt	autodidactic	autodidact
autodidaktik	autodidactic
autogramm	autography
automat	automat	automatic
automation	automation
automatisch	automatic	automatically
autonomie	autonomy
autopsie	autopsy
autor	author
auvergne	auvergne
avancieren	advancing
avisieren	advise	avis
aviv	aver
avocado	avocado
axiom	axiom
axiomatisch	axiomatically
azalee	azalea
azetat	acetate
azteken	aztec	aztecan
azurblau	azure
azyklisch	acyclic
babel	babel
babies	babies
baby	baby	babe
babylon	babylon
babylonier	babylonian	babylonia
bach	bach	bed
backen	back	jack	backed
backup	backup
bad	bad	bade
baden	bad	base
badisch	bad
badminton	badminton
bagdad	baghdad
bagger	digger	jagged
bahamas	bahamas
bahre	jahre
bahrein	bahrain
bais	bay
bajonett	bayonet
bakteriell	bacterial	bacterially
balance	balance
balboa	balboa
bald	bald
bali	bali
balken	balk
ball	ball	balls	bal
ballade	ballad	ballade
ballast	ballast
bälle	belle	bell	bel
ballen	ball
ballen	ball
ballerina	ballerina
ballett	ballet
ballistisch	ballistic
ballon	balloon
balsam	balsam
baltikum	baltic
baltisch	baltic
banal	banal	ban
banane	banana
band	band	bandy	bang
bandage	bandage
bandagieren	bandage
bande	band
bände	band
bänder	band
bandit	bandit
bang	bang	bank	ban
bangen	bang	jung
bangkok	bangkok
bangladesh	bangladesh
bangt	baric
banjo	banjo
bank	bank	junk	banco
bänke	bank	banker
bankett	junket
bankier	banker	junker
bann	ban
bannen	ban
banner	banner
bantu	bantu
baptist	baptist
bar	bar	ble	bara
bar	bar	ble	bara
bär	bar	bara
baracke	barracker	barrack
barbar	barbary
barbarisch	barbaric
barcelona	barcelona
barde	bard	barde
barg	barge	berg
barium	baric	barium	barry
bark	bark
barometer	barometer	baroscope
baron	baron
barracke	barracker	barrack
barracuda	barracuda
barrel	barrel	barrels
barren	barren	barred
barriere	barrier
barrikade	barricade
barsch	bars
bart	ble
bärte	barter	bard
basalt	basalt
base	base	bas	basic
basel	basel	base	bas
basic	basic
basieren	base
basilika	basilica
basis	basic	basis
basisch	basic	base
basisdaten	basis	batis
basken	bask
bässe	bass
bassin	bassine
bast	bast	base
bastard	bastard	bastardy
basteln	master
bastille	bastille
bastion	bastion	basting
bat	bat	bath	bate
batik	bar
bau	be
baudrate	baud
bauform	form	formal	formic
bayer	baya
bayonne	bayonne
bazille	bacillus
beachten	beachy
beben	even
becher	beche
becken	beck
bedecken	bedeck
beefsteak	beefsteak
beere	berry	beer
beet	beet	beat
befallen	befall
beging	begin	begins
beginn	begin
beginnen	begin
begonie	begonia
behaart	hairy	hair
behalf	behalf	half
behalten	halt
behalten	halt
behandeln	handle	handling
behang	hang
behänge	hen
behangen	hang
beharren	harry
behaut	haut	haute
beheben	hebe
behelfen	helped
behend	hence
behexen	hex	hexed
behielt	halt
behilft	hilt
behinderung	hinder
behob	hob
beholfen	holf
behüten	hot
bei	bey	bead	be
beige	beige
beim	term
bein	bey	bone	bon
beiname	ename
beisein	eisen
belag	belay
belehrung	bleary
belesen	belles
belfast	belfast
belgier	belgian
belieben	believe
beliebig	believe	believed
belief	belief	elief
beliegen	belie
belize	belize	police
bellen	bella	belle	bell
belletristik	belletristic
bellt	belly
belud	elude
bemannt	manned
benchmark	benchmark
benelux	benelux
bengalisch	bengali	bengal
benzin	bench
benzol	benzol	benzene
beraten	berate
beraten	berate
berater	berate
bereit	berry
berg	berg	burgh	burg
bergen	bergen	berg
berief	brief
beriefe	brief
berlin	berlin
berliner	berlin	berliner
berlinisch	berlin
bermuda	bermuda
bern	bern	ben	burn
berserker	berserker
bersten	burst
beryll	beryl
besätze	beset
beschied	beached
besen	essen
besieger	besieger
bessern	essen
bestach	bested	tested
beste	best	beste	test
bestie	best
betel	betel
beten	bey	beaten	bet
betracht	draft
betrachten	drafty	draft
betrachter	drafter
betrag	betray	drag	dray
betrinken	drink
betrog	drogue
betrug	drug	drugs
betrug	drug	drugs
betrunken	drunk	drunken
bett	bet	beat	betty
betteln	better
betten	betty	better
beute	best
beweint	event
bewunderer	wonder
bewunderin	wonder
bewundern	wonders	wonder
bewunderung	wonder	wounds
bezahlen	bagel
bias	bias
bibel	babel	bible
biber	bib
bidirektional	bidirectional
bieder	bidder
biegung	begun
biene	bien	bee
bier	bier	beer
biest	best
bigamie	bigamy
bikini	bikini	bina	bine
bilateral	bilaterally
bild	piece
bildlich	baldly
billard	billiard
billet	billet	bill
billig	billing	billy
billigen	billing
billion	billing	billion
bin	bin	bing	bine
binär	binary
binden	bind	binder
bindung	bidding	binding
bingen	bing
binnen	bin
biochemie	biochemical
biogen	biogenetic	biogenous
biografie	biographic
biograph	biographic	biograph
biographie	biographic
biologie	biological	biology
biologisch	biologically	biological
biotechnologisch	biotechnology
birgt	baric
birmingham	birmingham
bis	bis	bid	by
biskuit	biscuit
biß	big	big
biß	big	big
bist	bister
bistum	bara
bit	bit	base	bar
bitmap	bitmap
bitten	bitter	bitten	bitty
bitter	bitter	biter	bitters
bitumen	bitumen
bizarr	bizarre
bizeps	biceps
blanchieren	blanch
blank	blanc	blank
blasen	blase	blaze
bläser	blaser	blessed
blasiert	blazed	blast
blässe	bless
bläst	blast	blest
blätter	blatter	blether
blau	ble
blei	ble
blenden	blend
blendung	blending
blich	bless
blieb	blob
blind	blind	blond
blindheit	blindness
blinken	blink
blitz	blitz	blind
block	block	bloc
blockade	blockade
blockieren	blocking	block
blockierung	blocking
blond	blond
bluff	bluff
bluffen	bluff	bluffer
bluse	blouse
blut	blut
blüte	blut
boa	bon	boat	boa
bock	bock
bocken	bock	bocca
boden	body	bode
bog	bough	bog
bogota	bogota
bolivien	bolivia
bologna	bologna
bombastisch	bombastically
bombay	bombay
bombe	bomb
bon	bon	bone	bot
bonbon	bonbon
boniert	boned
bonn	bon	bonne	bonn
bonsai	bonsai
bonus	bone	bonus	bon
bonze	bonze
boolesch	boolean
boot	boot	boat	booth
booten	booty	boot
bordeaux	bordeaux
bordell	bordel
bös	bar	bang	bas
bösartig	bale	bale
bosnien	bosnian
bosporus	bosporus
boß	bog
boston	boston
bot	bot	both
botanik	botanic	botany
botaniker	botanic
botanisch	botanic
bote	bot	both
boten	bot
boutique	boutique
box	box	boxes
boxen	box	boxes	boxing
boxer	boxer	boxing	boxed
boy	boy
boykott	boycott
brach	bred
brachte	bright
brahmane	brahman
brahmanentum	brahmanism
brahmanismus	brahma	brahmanism
branche	branch
brand	brand	brandy	prance
branden	brand	branded	brandy
brandig	brandy	brandish
brandung	brandy
brannte	branny	brand
brasilianer	brazilian
brasilien	brasilia
bräute	breed
brav	brave	bravely
brechen	prep
brei	bread
breisach	breach	braised
bremsen	brake
bremsung	bras
brennen	bren
bresche	breach
brest	breast
brett	brett	breton
brevier	brevier	breve
brie	brie
brief	brief
brieflich	briefly
brieftasche	briefcase
brigade	brigade
brighton	brighton
brikett	briquet	briquette
brillant	brilliant
brille	brill	briller
bringen	bring
brisant	brisant	brisance
brisanz	brisance	brisant
bristol	bristol
brite	brit
brocken	brocken
brodeln	broder
broker	broker	brokery	broke
bronchitis	bronchitic	bronchitis
bronze	bronze
bronzen	bronze
brosche	brush	breach
broschieren	brush
brot	broth	bred
bruder	bruder
brüder	bruder
brunch	brunch
brünett	brunet	brunette
brüsk	brusque
brutal	brutal
brutalität	brutality	brutal
brüten	brut
brüter	brut
bübisch	bove
buch	bouche
buchenholz	bouche
buckel	busker	buckle
buckeln	buckle	busker
bucklig	buckle
budapest	budapest
buddha	buddha
bude	bud
budget	budget
büffel	buffer	buffalo
büffeln	buffer
bug	bough	bug
bulette	bullet
bulgarien	bulgaria
bulldogge	bulldog
bulle	bull
bulletin	bullet
bullig	bully
bummelei	bumble
bummeln	bumbling	bumble	bummer
bund	bound	bund	bond
bündel	bundle	bunder
bundesbank	bundesbank
bunker	bunker	bouncer
bunt	bunt	bound	bounty
bürde	burden
burg	burgh	burg	bough
bürgen	burg
bürger	burgher
burgund	burgundy
büro	burro
bürsten	burst
bus	bus	bush	boo
busch	bush	bushy	bouse
büsche	bush	bushes
büschel	bushel
buschig	bushing	bushy	bushed
busen	bus	bouse
büste	bust	bustle
butler	butler
bütt	butt	but	butte
büttel	butter	butte	buttery
butter	butter	buttery
buttern	butter	bout	but
bypass	bypass
byte	byte
cabaret	cabaret
cabrio	cabriolet
cache	cache	cacher
cafe	cafe	calf	caf
cafeteria	cafeteria
calabrien	calabria
call	cable	call	calls
calvinist	calvinist
camembert	camembert
camp	campus	camp
camping	camping	camp
canberra	canberra
candela	candle
cannes	cannes
caravan	caravan
cartoon	cartoon
casino	casino
cayenne	cayenne
celle	cell
cellist	cellist
celsius	celsius
cent	cent
center	center	centre
ceylon	ceylon
chalet	chalet
chamäleon	chameleon
champion	champion
chance	chance	chances
chaos	chaos
chaot	chaotic
chaotisch	chaotic
charakter	character
charakteristik	characteristic
charakteristika	characteristic
charakteristisch	characteristic
charakterlos	characterless
charge	charge	charger
chargieren	charge	charger
charisma	charisma
charme	charm	charmer
charmeur	charmer
charta	charta	chart
chartern	charter
chassis	chassis
chauffeur	chauffeur	chauffeuse
chaussee	chaussee
chef	chef
chemie	alchemic
chemiker	alchemic	chemist
chemisch	alchemic
chic	chic	cic	hic
chile	chile	quil
china	china	chine	quine
chinchilla	chinchilla
chinese	chinese
chinin	chine
chintz	quint
chip	chip	quip
chirurg	chirurgical
chirurgie	chirurgery	chirurgical	chirurgy
chirurgisch	chirurgical
chlorid	chloride
chloroform	chloroform
chlorophyll	chlorophyll
choke	choker	choke	choc
cholera	cholera
cholerisch	choler	choleric
chor	chor	cor	chore
choral	choral	chorally	choric
choreograph	choreographic
choreographisch	choreographic
christ	christ
christbaum	christ
christi	christ
christianisierung	christianism
christlich	christless
christus	christ
chrom	chrome	chromatic
chromatisch	chromatically	chromatic
chronik	chronic
chronisch	chronic
chronologie	chronology
chronologisch	chronologically
chronometer	chronoscope	chronometer
chronometrie	chronometry
chur	chouse	churn	house
city	city	cite
clever	clever
clippen	clip
clique	clique
clone	clone
closure	closure
clown	clown
club	club
coaten	coated	coat
coats	coats	coat
cobol	cobol
code	code	cod
codex	codex
codieren	coding	codify	code
codierung	coding	code
cognac	cognac
collage	collage	collagen
collie	collie	coll
colombo	colombo
commonwealth	commonwealth
compiler	compiler
compiler	compiler
computer	computer
console	console
container	container	contain
continuation	continuation
copyright	copyright
cornwall	cornwall
cosinus	cosine
countdown	countdown
coup	couple	coup	coupe
coupe	coupe	coup
coupon	coupon
courage	courage
cousin	cousin
coventry	coventry
creme	creme
croupier	croupier
curacao	curacao
curriculum	curriculum
cursor	cursor	cursory
da	da	date	dat
dabei	dative	date
dach	ded
dachau	dachau	che
dachte	daft
dackel	dacker	dacca
dakar	dakar
dallas	dallas
dalmatien	dalmatia
damaskus	damask
dame	dame	dam	dama
damm	dam
dämme	dem	dam
dämmern	dampen
dämon	demon	daemon	demonic
dämonisch	demonic
dampf	damp
däne	dan	dane	den
dänisch	dan
dank	dank
danken	dance	dank
dann	dan
dar	dare
därme	derm
darum	dare
data	data	date
dataphon	data
datei	date
daten	dated	date	data
datenkabel	cable
datenkanal	canal
datenkommunikation	communication
dativ	dative	dated
dato	date
dattel	date
datum	datum	date
davor	ago
dazu	daze
dealen	dealer
debatte	debate
debattieren	debate
debil	debile	debility
debüt	debut
debütant	debutant
deckel	nickel
decken	nick	deck
deckname	nickname
deckung	nick	deck	dick
decoder	decoder
decodieren	decoding
decodierung	decoding
dediziert	dedicate	dedicated
deduktion	deduction
deduzieren	deduce	deduct
defekt	defect
definit	definition	definite
definition	definition
definitiv	definitive	definition
defizit	deficit
deflation	deflation
deflationieren	deflation
deformiert	deform
degeneration	degeneration
degenerieren	degenerate
degradieren	degrading
degradierung	degrading
degressiv	degressive
deich	dey	dish
dein	dey	den
deinig	dining
dekade	decade
dekadent	decadency	decadent
dekadenz	decadency	decadence
dekan	decant
deklamation	declamation
deklamator	declamatory
deklaration	declaration
deklination	declination
deklinieren	declining
dekodieren	decoding
dekoration	decoration
dekorativ	decorative
dekorator	decorator
dekret	decree
delaware	delaware
delegation	delegation	delegacy
delhi	delhi
delle	dell	del
delphi	delphi
delta	delta
dem	dem
demagoge	demagogue
demagogie	demagogy
demagogisch	demagogic	demagogy
dementi	dementi
dementierung	dementation
demografisch	demographic
demographisch	demographic
demokrat	democratic
demokratie	democratic
demokratisch	democratic
demonstration	demonstration
demonstrativ	demonstrated
demütig	demotic
den	den	don
denker	denker
dentist	dentist
denunziation	denunciation
denunzieren	denunciation
departement	department
deponieren	depose
deportation	deportation
deportieren	deport
depot	depot
depression	depression
depressiv	depressive
der	der	dura	dean
derer	der
derzeit	der	dr
des	des	dess	dee
deserteur	deserter
desertieren	deserting	desert
design	design	designation
desinfizieren	disinfect
desk	desk
despot	despot	despotic
despotie	despot
despotisch	despotic	despot
dessert	desert
dessous	desous
destillation	distillation
destination	destination
desto	desto
destruktion	destruction
destruktiv	destructive	destructively
detail	detail	details
detektierung	detect
detektion	detection
detektor	detector
detroit	detroit
deutlich	thistly	distal
devise	devise
devon	devon
devot	devote
dezember	december
dezent	decent	detent
dezimal	decimal
dezimalzahl	decimal
diabetiker	diabetic
diabetisch	diabetic
diabolisch	diabolic
diadem	diadem	deaden
diagnostisch	diagnostic
diagramm	diagram
diakone	deacon
diakonie	deacon
diakonisch	deacon
dialekt	dialect	dialectic
dialektisch	dialectic	dialectician	dialectically
diametral	diametric	diametral
diät	diet
dich	dike
dichothomie	dichotomy
dichter	dichter
dichterisch	dichter
dichtung	dichtung
dick	dick
didaktik	didactic
didaktisch	didactic	didactically
die	die
diele	dial
diener	diener
dies	dies	die
diesel	diesel	dies
diesig	dies
diesmal	dismal
diesseits	dissert
differentiell	differentially
differenz	difference	differentia
differenziert	differentiated
differenzierung	differentiation
differieren	differ	differing
diffus	diffuse
diffusion	diffusion
digital	digital
diktat	dictate
diktator	dictator
diktion	diction
dilemma	dilemma
dilettant	dilettant
dill	dill	dilly
dimension	dimension
dimensionieren	dimensioning
ding	ding	din
dinieren	dining	dinner
diode	diode
diphthong	diphthong
diplom	diploma	diplomatic
diplomatie	diplomatics
diplomatisch	diplomatic
dir	dire	der
directory	directory
direkt	direct	direction
direktion	direction	directions
direktional	directional
direktive	directions	directive
direktor	directory	director
direktorium	directory
dirigieren	dirige
dirne	friend
disjunkt	disjunct
disk	disk	disco	disc
diskothek	disco
diskrepanz	discrepance	discrepancy
diskret	discretion	discrete
diskretion	discretion
diskriminieren	discrimination
diskriminierung	discrimination
diskus	disk	discus	disc
diskussion	discussion
disparität	disparity
dispens	dispense
display	display
disposition	disposition
disput	dispute
disqualifikation	disqualification
disqualifizierung	disqualification
dissens	dissent
dissident	dissident
distanz	distance	distant
distel	dispel
distribution	distribution
distrikt	district
disziplin	discipline
disziplinarisch	disciplinary
disziplinieren	discipline
diva	diva	dive	divan
divergenz	divergency	divergence
divergieren	diverging	diverge
divers	divers	diverse	divert
dividieren	dividing	divide
division	division
divisor	divisor
diwan	divan
dixieland	dixie
dobermann	doberman
dock	dock	docket
doge	dog
dogge	dog	dogger
dogma	dogmatics	dogma
dogma	dogmatics	dogma
dogmatiker	dogmatist
dogmatisch	dogmatic
dogmatismus	dogmatics	dogmatist
dogmen	dogma
doktor	doctor
dokument	documentation	document
dokumentation	documentation
dollar	dollar
dom	dome	domine	don
dominant	dominant
dominanz	dominance
dominikaner	dominican
dominikanisch	dominican
domino	domino	domine	domain
don	don	done	dong
donau	done	tone
donner	donner
donnern	donner
doping	toping
dorado	dorado
dorn	dor
dörren	dure
dort	dort	dor
dose	dos	dose
dösen	douse	des
dosieren	dos	dose
dotieren	doting	dot
dotierung	dot	doting
double	double	doubles
doublette	doublet	double
dover	dover	dove
dozent	docent
drachme	drachma
dragoner	dragon	dragoon
drall	drably
drama	drama	dram
drama	drama	dram
dramatisch	dramatic
dramaturg	dramaturgic
dramaturgisch	dramaturgic
dramen	dram	drama	draper
drang	trans
drang	trans
drapieren	draper
drastisch	drastic
dreck	dreck	trick
drei	dry	dread
dresden	dresden
dreß	dreg	dreg	dress
dresseur	dresser
dressieren	dress	dressing
dribbeln	dribble	dribbling	dribbler
drift	drift
drillen	drilled
drilling	drilling
drin	dress	dry
drink	drink
drinne	drain
dritt	triton
droben	drove
droge	drogue	droger
drogist	droger
drossel	dross
drüben	drover	drove
drüber	drover	trover
druck	truck
druide	druid
du	du	do	de
dual	dual
dualistisch	dualistic
dubios	dubious
dublin	dublin
ducken	duck
duell	dual	duel
duett	duet
dukate	ducat
dumm	dum	dumb
dumpf	dump
düne	dun	dune
dung	dung	ding	dun
düngen	dung
dunkel	dunker
dunkeln	dunker
dünn	dun
duplikat	duplication
duplizierung	duplication
duplizität	duplicity
dur	dour	dura	dor
dürr	durra
dürre	dure
duschen	dish
düsseldorf	dusseldorf
düster	duster	dust
duzen	duce
dynamik	dynamic	dynamics
dynamisch	dynamic
dynamo	dynamo
dynastie	dynasty	dynast
ebbe	ebb
eben	even	event
ebenholz	even	eve
eber	ever	eb	every
echo	echo
ecuador	ecuador
edel	edel
edelweiß	edelweiss
eden	eden	ed
edinburgh	edinburgh
editieren	editing	edit
editor	editor
editorial	editorial
effekt	effect
effektiv	effective	effectively
effektivität	effectiveness
effizient	efficient	efficiently
effizienz	efficiency
egal	equal	equate
egel	hegel
egge	eg	egg
ego	ego
egoismen	egoism	egotism
egoismus	egoism	egoist	ego
egoist	egoist	egotist	egoistic
egoistisch	egoistic	egoistical
egozentrisch	egocentric
ehrbar	early
ehrenwert	earn
ehrlich	early
ehrlos	earless
ehrsam	early
eid	id
eidlich	idly
eier	eyed
eifel	heifer
eifer	heifer
eifern	heifer
eigeninitiative	initiative
eigeninitiiert	initiate
eigner	eigner
eiland	island
eilen	time	times
eilig	eile
ein	ein	city
einakter	enact
einbrach	inbred
einen	ein
einfand	infant
eingabe	ingate
eingravieren	engraving
einher	inhere
einlauf	ein	in	en
einmal	inmate
einrollen	enroll
eins	ins	ens
einsam	erous
einsätze	inset
einsen	essen
einspannen	inspan
einwärts	inward	inwards
einzel	inter
einzeln	inter	enter	center
eisen	eisen
eisen	eisen
eisern	eisen
eiskalt	escort
eitern	stern
eitrig	string
eklatant	blatant
eklig	bligh	ble
eklipse	eclipse
ekstase	ecstasis
ekstatisch	ecstatic
elan	elan
elastisch	elastic
elastizität	elasticity
elba	alba	elbe
elbe	elves	elbe
elch	elk
elegant	elegant
elegie	elegy
elektrik	electrical
elektrisch	electrical	electric
elektrizität	electricity
elektrode	electrode
elektrolyt	electrolyte
