determinante	determinant
klaustrophobie	claustrophobia
materialisation	materialization
antagonismus	antagonism
produkt	product
desaster	disaster
transaktion	transaction
ichthyologisch	ichthyological
metempsychose	metempsychosis
jeremia	jeremiah
nephrologe	nephrologist
siswati	swati
genuin	genuine
schizophrenie	schizophrenia
observatorium	observatory
fundamentalismus	fundamentalism
patriotismus	patriotism
kordon	cordon
fragil	fragile
leucin	leucine
stipendium	scholarship	 stipend
xylophon	xylophone
acenaphthen	acenaphthene
pantheistich	pantheistic
ornithin	ornithine
pumpe	pump
pathologisch	pathological	 pathologic
hanna	hannah	 anna
kontrast	contrast
bizarr	bizarre
dromedar	dromedary
profiteur	profiteer
toasten	toast
phonem	phoneme
hernie	hernia
potentant	potentate
hippokrates	hippocrates
nitroglyzerin	nitroglycerine
amulett	amulet
theodor	theodore
epiphyt	epiphyte
generell	general	 generally
mulchen	mulch
ballon	balloon
saratow	saratov
phenylalanin	phenylalanine
interferenz	interference
ramifikation	ramification
soffitte	soffit
atavismus	atavism
grillen	fry	 barbecue	 grill
lemongras	lemongrass
zettaliter	zettalitre
extremität	extremity
banalität	banality
antikolonial	anticolonial
jeremias	jeremiah
veranda	patio	 verandah
attributiv	attributive
genealogie	genealogy
synagoge	synagogue
genealogin	genealogist
zentaur	centaur	 centaurus
jostabeere	jostaberry
lombardei	lombardy
biogeographie	biogeography
kadmium	cadmium
bauxit	bauxite
quintett	quintet
morphismus	morphism
kosmopolit	cosmopolite
granit	granite
babylonien	babylonia
mulla	mullah
kapitol	capitol
kompiler	compiler
triest	trieste
europa	europe
membran	membrane	 diaphragm
facette	face	 facet
komposition	composition
sunnite	sunni
attika	attica
behaviorismus	behaviorism
konfuse	confuse
ligatur	ligature	 logotype
revolutionär	revolutionary
sibylle	sibyl
simson	samson
prostituieren	whore	 prostitute
audiologie	audiology
alphabetismus	alphabetism
ignoranz	ignorance
herpetologie	herpetology
germane	german
pansexualität	pansexuality
nro	ngo
transparenz	transparency
sewastopol	sevastopol
antidot	antidote
skript	script
nr.	no.
jasmin	jasmine
rolle	part	 roll	 role	 pulley	 cylinder
transnistrien	transnistria
terpentin	turpentine
epigramm	epigram
horizont	horizon
konventionell	conventional
fuchsie	fuchsia
pyrotechnik	pyrotechnics
kickboxen	kickboxing
egoismus	egoism	 selfishness
amoralität	amorality
ragnarök	ragnarok
realistisch	realistic
sarajewo	sarajevo
psychometrie	psychometry
lysin	lysine
lasagne	lasagna
ballade	ballad
aphoristisch	aphoristic
perihel	perihelion
hegemonie	hegemony
pessimismus	pessimism
sensibilität	sensibility
desillusion	disillusion
amiodaron	amiodarone
romanze	romance
prostituierte	prostitute
kapitalismus	capitalism
maske	mask
literatur	literature
polyurethan	polyurethane
logotyp	logotype
nephologie	nephology
xenophobie	xenophobia
glyphe	glyph
aeronautisch	aeronautic
blasphemie	blasphemy	 blaspheme
dopen	dope
moment	minute	 second	 jiffy	 momentum
muslimin	muslim
stratosphäre	stratosphere
apraxie	apraxia
drollig	droll
singulär	singular
herde	herd	 flock
republik	republic
organismus	organism
surjektion	surjection
autonom	autonomous
buttermilch	buttermilk
internationalismus	internationalism
branche	branch
thymin	thymine
minimalistisch	minimalist
sodalith	sodalite
archimandrit	archimandrite
checken	check	 twig
legende	caption	 key	 legend
novellist	novelist
päderast	pederast
thermodynamik	thermodynamics
nitril	nitrile
protuberanz	protuberance
magazin	magazine
hypotheka	hypotheca
neoliberalismus	neoliberalism
geographie	geography
bretone	breton
landgraf	landgrave
wladika	vladika
konvention	convention
melone	melon
ideologie	ideology
anabolismus	anabolism
kapital	fund	 capital
hypnotherapie	hypnotherapy
ideologin	ideologist
substanz	substance	 matter
endosymbiose	endosymbiosis
hypothese	hypothesis	 conjecture
kommentator	commentator
myriaden	myriad
parmesankäse	parmesan
grotte	grotto
kantonese	cantonese
ahlspieß	ahlspiess
lanthan	lanthanum
delphin	dolphin
artillerie	ordnance	 battery	 artillery
positionieren	position
violinistin	violinist
flexibilität	flexibility	 flex
calvinistisch	calvinistical
semit	semite
elektromagnetismus	electromagnetism
metall	metal
troglodyt	troglodyte
additiv	additive
konnotation	connotation
stochastisch	stochastic
aneurysma	aneurysm
bloggerin	blogger
christin	christian
parthenogenese	parthenogenesis
individuum	individual
populismus	populism
melancholisch	melancholy	 melancholic
resultat	result
plattform	platform	 floor
diskussion	discussion	 argument
imperialismus	imperialism
klandestin	clandestine
kolumbarium	columbarium
kormoran	cormorant
druide	druid
häh	huh
superlativ	superlative
transformieren	transmogrify	 transform
pandemie	pandemic
ficker	fucker	 fuck
kavalier	cavalier	 squire
butan	butane
kindergärtnerin	kindergartner
makrophage	macrophage
heterozygot	heterozygote
kommissiv	commissive
dermatologe	dermatologist
klient	client
kondition	condition
tschukotka	chukotka
amid	amide
amin	amine
jehova	jehovah
transrealismus	transrealism
lithographie	lithography
polyglotte	polyglot
koordination	coordination
guanin	guanine
metalexikographie	metalexicography
neoplasie	neoplasm
desinformation	disinformation
inkompetent	incompetent
partisane	partisan
unperson	nonperson
katechismus	catechism
flageolett	flageolet
oktober	october
admiralsamt	admiralty
zelkowa	zelkova
neoplasma	neoplasm
exzeptionalismus	exceptionalism
zelkove	zelkova
phlegmatisch	phlegmatic
hierarchie	hierarchy
zelkoua	zelkova
kieserit	kieserite
dichogamie	dichogamy
soiree	soirée
koriander	coriander
hessen	hesse
negligé	negligée	 negligee
allegorisch	allegorical	 allegoric	 allegorically
isolationismus	isolationism
granulomatös	granulomatous
originalität	originality
abstraktion	abstraction
humanität	humanity
bulimie	bulimia
algier	algiers
neurologie	neurology
konsul	consul
kopula	copula
elektronegativität	electronegativity
ganymed	ganymede
astronomie	astronomy
reykjavík	reykjavik
pseudoskorpion	pseudoscorpion
bilingualismus	bilingualism
terminologie	terminology
checkliste	checklist
philanthrop	philanthropist
mongolin	mongolian
januar	january
neonatologe	neonatologist
obsolet	obsolete
trumpf	trump
produktion	production
rhinoplastik	rhinoplasty
experte	expert	 specialist
modul	module
limburgisch	limburgish
kontamination	contamination
ordern	order
kredit	credit
ballistisch	ballistic
ostende	ostend
anglerfisch	anglerfish
optometrie	optometry
kondensat	condensate
müller	smith	 miller
bariton	baritone
hypochondrisch	hypochondriac
taipeh	taipei
herodes	herod
violett	purple	 violet
exoskelett	exoskeleton
bulgarien	bulgaria
ultrastruktur	ultrastructure
tangens	tangent
kasino	casino
spekulation	speculation
arbiträr	arbitrary
hemisphäre	hemisphere
pietismus	pietism
libanese	lebanese
perspektive	perspective
antimon	antimony
vanadinit	vanadinite
pantheismus	pantheism
technobrabbel	technobabble
blasphemieren	blaspheme
pinguin	penguin
experimentieren	experiment
protestantismus	protestantism
kontinent	mainland	 continent
rallye	rally
bulldogge	bulldog
legalität	legality
tschita	chita
vivisektion	vivisection
kurde	kurd
korridor	corridor
atheistisch	atheistic
architektin	architect
mandat	mandate
azetylcholin	acetylcholine
parapsychologie	parapsychology
aerodynamisch	aerodynamical	 aerodynamic
acrylamid	acrylamide
herodot	herodotus
republikanismus	republicanism
automatisch	automatic
pathologe	pathologist
proterozoikum	proterozoic
libanon	lebanon
pyrolyse	pyrolysis
werner	warner
asbestose	asbestosis
kasachstan	kazakhstan
nihilismus	nihilism
voyeuristisch	voyeuristic
internierte	internee
metrosexualität	metrosexuality
paleokonservative	paleoconservative
illokution	illocution
bolivianerin	bolivian
pedantin	pedant
antimaterie	antimatter
kemerowo	kemerovo
wollastonit	wollastonite
paraphyletisch	paraphyletic
ballett	ballet
infinitiv	infinitive
kathode	cathode
programm	program	 catalogue	 schedule	 cycle
qualifikation	qualification
physiologin	physiologist
physiologie	physiology
darwinistin	darwinist
serpentinit	serpentinite
idiomatisch	idiomatic
syndrom	syndrome
gentrifikation	gentrification
stereotomie	stereotomy
ideogramm	ideogram
clathrat	clathrate
cellophan	cellophane
kompromiss	compromise
isabell	isabel
hologramm	hologram
pianistin	pianist
konstitution	constitution
tapioka	tapioca
genealoge	genealogist
interesse	interest
meteorologie	meteorology
gerontologie	gerontology
anis	anise
omnitheismus	omnitheism
methan	methane
isomorphismus	isomorphism
andalusien	andalusia
pneumonie	pneumonia
springen	jump	 branch	 leap	 spring
pessimistisch	pessimistic
sardinien	sardinia
domestik	domestic
quant	quantum
exobiologie	exobiology
kantianismus	kantianism
systematisch	systematic
kongolese	congolese
harmagedon	armageddon
pille	pill
technobabbel	technobabble
honduranerin	honduran
antonymie	antonymy
veganismus	veganism
burgunder	burgundy
tonsille	tonsil
oneirologe	oneirologist
kranial	cranial
opportunistin	opportunist
anthropophobie	anthropophobia	 homophobia
konvex	convex
monogam	monogamous
objekt	object
asplenie	asplenia
parvenü	parvenu	 upstart
mobil	mobile
nicaraguanerin	nicaraguan
regulär	regular
surinam	suriname
antifaschistin	antifascist
tortur	torture	 ordeal
anopie	anopia
roboter	robot
numerologie	numerology
anxiolytikum	anxiolytic
cholesterin	cholesterol
zyklostome	cyclostome
muskete	musket
integrität	integrity
psychoanalyse	psychoanalysis
transsexuelle	transsexual
epitheton	epithet
affekt	affect
irrelevanz	irrelevance
aerologie	aerology
syllogismus	syllogism
libertarismus	libertarianism
gastronomie	gastronomy
sorte	sort	 variety
bangladesch	bangladesh
alkan	alkane
symmetrisch	symmetric	 symmetrical
vietnamesin	vietnamese
usbekistan	uzbekistan
windsurfen	windsurfing
andorraner	andorran
intervenieren	intervene
hyperbel	hyperbole	 hyperbola
scharade	charades
eukalyptus	eucalyptus
bessarabien	bessarabia
katharsis	catharsis
stalken	stalk
taxidermie	taxidermy
terrorismus	terrorism
epinephrin	epinephrine
mediterran	mediterranean
konsonant	consonant
antipyretikum	antipyretic
arroganz	arrogance
eigenvektor	eigenvector
faszination	fascination
theophanie	theophany
selenologe	selenologist
polyamorie	polyamory
priorität	priority
hydrat	hydrate
andragogik	andragogy
planktologie	planktology
kolonist	colonist	 settler
thermosphäre	thermosphere
animosität	animosity
chresmologe	chresmologue
pharao	pharaoh
wolframit	wolframite
phytotomie	phytotomy
szenario	scenario
repräsentativ	representative
kaviar	caviar
orthodoxie	orthodoxy
parasitismus	parasitism
empyem	empyema
favorit	favorite
katheter	catheter
trojaner	trojan
negativ	negative
hyperkeratose	hyperkeratosis
originell	original
propan	propane
antibiotikum	antibiotic
trimm	trim
strang	strand
charismatisch	charismatic
interplanetarisch	interplanetary
apparat	appliance	 apparatus	 device
phonologie	phonology
multiversum	multiverse
perfektionismus	perfectionism
homophon	homophone
psychopharmakologie	psychopharmacology
sexismus	sexism
existentialismus	existentialism
strategem	stratagem
choral	chorale
petunie	petunia
toleranz	tolerance
honduranisch	honduran
autochthon	autochthonous
demagogisch	demagogic
progressiv	progressive
singapur	singapore
pornograph	pornographer
ornithologe	ornithologist
schisma	schism
strategie	strategy
xanthin	xanthine
projekt	project
tjumen	tyumen
ukas	ukase
postmoderne	postmodernism
terraner	earthling	 terran
burkinabé	burkinabe
burkinabè	burkinabe
kommunistin	communist
simbabwe	zimbabwe
kardioide	cardioid
hydrographie	hydrography
pyrrol	pyrrole
patriotisch	patriotic
salmonelle	salmonella
porno	porn
materiell	physical	 material
hysterese	hysteresis
elativ	elative
comic	comics
leninismus	leninism
homosexuelle	homosexual
homosexuell	homosexual	 gay
asbest	asbestos
tscherkessk	cherkessk
archangelsk	arkhangelsk
mikrovillus	microvillus
sultanat	sultanate
morphologie	morphology
absinth	absinthe
protestantin	protestant
epidemie	epidemic
evolutionär	evolutionary
meteorit	meteorite
tanach	tanakh
primat	primate
karies	caries
spezialist	specialist
glutamin	glutamine
adenin	adenine
kognition	cognition
theologie	theology
theologin	theologian
enchondrom	enchondroma
universum	universe
ablativ	ablative
trampolin	trampoline
muggel	muggle
stereotyp	stereotype
optimistisch	optimistic
inkonsistent	inconsistent
charakteristik	characteristic
indonesier	indonesian
indonesien	indonesia
seismologisch	seismologic	 seismological
abasie	abasia
asymptotisch	asymptotic
georg	george
terroristin	terrorist
covern	cover
helene	helen
monstranz	monstrance
klitoris	clitoris
rationalismus	rationalism
epilepsie	epilepsy
astatin	astatine
quadratisch	square	 quadratic
symmetrie	symmetry
munition	ammunition
kolonialismus	colonialism
philosophie	philosophy
athene	athena
professorin	professor
pirat	pirate
anomal	anomalous
drachme	drachma
impressionismus	impressionism
wahhabismus	wahhabism
tautologie	tautology
methode	method
profitabel	profitable
neopren	neoprene
thiosulfat	thiosulfate
monogramm	monogram
thron	throne
kannibalismus	cannibalism
amnesie	amnesia
myriade	myriad
differenz	difference
maoismus	maoism
manifest	manifesto
futurismus	futurism
havanna	havana
monolog	monologue
marmosette	marmoset
cytosin	cytosine
polygam	polygamous
monarchin	monarch
unilateralismus	unilateralism
philipp	philip
materialismus	materialism
altruismus	altruism
arnika	arnica
deismus	deism
alarmismus	alarmism
monarchie	monarchy
pluralismus	pluralism
neuroendokrin	neuroendocrine
dermatologie	dermatology
dermatologin	dermatologist
korollar	corollary
honshū	honshu
gramm	gram
nerv	nerve
opportunismus	opportunism
dialekt	dialect
initialismus	initialism
opportunistisch	opportunistic
nonsens	nonsense
intrinsisch	intrinsic
chromosom	chromosome
velodrom	velodrome
astrologie	astrology
telegramm	telegram
bilokation	bilocation
rheologie	rheology
kremation	cremation
babbeln	babble
dopamin	dopamine
judit	judith
genom	genome
gilgamesch	gilgamesh
omnipräsent	omnipresent
ultimaten	ultimatum
anachronismus	anachronism
konsulat	consulate
emirat	emirate
futuristisch	futuristic
konfirmation	confirmation
cystin	cystine
antillen	antillean
volatil	volatile
linde	lime	 basswood	 linden
solfatare	solfatara
allotropie	allotropy
psychologe	psychologist
gigantismus	gigantism
äquator	equator
psychotherapeut	psychotherapist
sevilla	seville
morphem	morpheme
ichthyologie	ichthyology
subversiv	subversive
kompost	compost
atmosphäre	atmosphere
relativ	relative	 relatively
kippa	skullcap	 yarmulke	 kippah
liberianer	liberian
normandie	normandy
surinamerin	surinamese
angolaner	angolan
mennoniten	mennonite
cholin	choline
frequenz	frequency
legendär	legendary
skandal	scandal
ambivalenz	ambivalence
lymphe	lymph
alanin	alanine
architekt	architect
kindergärtner	kindergartner
kohyponym	cohyponym
drillen	drill
parasitologie	parasitology
melodramatisch	melodramatic
gladiole	gladiolus
immun	immune
problematisch	problematic
