a	um
amplitudes	amplitude
ampul	ampulle
ampulla	ampulle
amputation	amputation
amputations	amputation
amputee	amputieren
amputees	amputieren
amsterdam	amsterdam
amulet	amulett
amusement	amüsement
amusements	amüsement
an	an
ana	an
anachronism	anachronismen
anachronistic	anachronistisch
anachronistical	anachronistisch
anachronistically	anachronistisch
anaemic	anämisch
anal	anal
anality	anal
anally	anal
analog	analog
analogic	analog
analogies	analogie
analogous	analog
analogousness	analogie
analogs	analog
analogue	analog
analogy	analogie
analyse	analyse
analyser	analyse
analyses	analyse
analysis	analyse	analysis
analyst	analyse
analytic	analytisch
analytical	analytisch
analytically	analytisch
analyze	analyse	analysieren
analyzes	analyse	analysis
anarchic	anarchisch	anarchistisch
anarchical	anarchisch	anarchistisch
anarchically	anarchisch	anarchistisch
anarchies	anarchie
anarchism	anarchismus	anarchisch
anarchist	anarchist	anarchistisch
anarchistic	anarchistisch
anarchists	anarchist
anarchy	anarchie	anarchisch
anatase	analyse
anatomic	anatomisch
anatomical	anatomisch
anatomically	anatomisch
anatomies	anatomie
anatomist	anatomie
anatomy	anatomie
andorra	andorra
andre	andre
android	androide
androids	androide
anecdote	anekdote
anecdotes	anekdote
anecdotist	anekdote
anemic	anämisch
anemone	anemone
anemones	anemone
anergy	energie	energisch
angel	angel	engel
angeles	angel
angelic	angel
angels	angel
angina	angina
anginas	angina
angle	angel	angler	angeln
angled	angler
angler	angler
anglers	angler
angling	angeln
anglo	angler
angola	angola	angel
angry	angel
angst	angst
angsts	angst
angus	hang
anilin	anilin
aniline	anilin
anilins	anilin
animosities	animosität
animosity	animosität
anis	anis
anise	anis
aniseed	anis
anisette	anis
ankara	ankara
ankle	angel	angeln
anklebone	ankleben
annal	annalen
annals	annalen
annexation	annexion
annexations	annexion
annexes	annexe
annexing	annexion
annexion	annexion
anomalies	anomalie
anomalous	anomal
anomaly	anomalie	anomal
anon	anonym
anonym	anonym
anonyma	anonym
anonymity	anonymität
anonymous	anonym
anonymously	anonym
anonymousness	anonymität
anorak	anorak
antarctic	antarktisch
antelope	antilope
antelopes	antilope
antenna	antenne
antennae	antenne	tenne
antennal	antenne
anteriorly	entern
anthemed	themen
anthologies	anthologie
anthology	anthologie
anthropoid	anthropoide
anthropoids	anthropoide
anthropologic	anthropologisch
antic	antik
antics	antik
antidemocratic	antidemokratisch
antifascism	antifaschismus
antifascist	antifaschist	antifaschistisch
antifascists	antifaschist
antipathies	antipathie
antipathy	antipathie
antiquarian	antiquariat
antiquary	antiquar	antiquarisch
antique	antik
antiqueness	antiquität
antiquities	antiquität
antiquity	antiquität
antitheses	antithese
antithesis	antithese
apache	apache
apaches	apache
apart	apart
apartheid	apartheid
apartment	appartement	apartment
apartments	appartement
apathy	apathisch
aper	after
aperies	after
apers	after
apery	after
aphorism	aphorismus
apocalypse	apokalypse
apocalypses	apokalypse
apocalyptic	apokalyptisch
apocalyptical	apokalyptisch
apocalyptically	apokalyptisch
apostle	apostel
apostolic	apostolisch
apostrophe	apostroph
apostrophic	apostroph
apothecary	apotheker
appal	appell
appall	appell
appalls	appell
appanage	apparat
apparat	apparat
apparats	apparat
apparatus	apparat
appels	apfel
appetencies	appetenz
appetency	appetenz
appetit	appetit
appetite	appetit
applause	applaus
applicable	applikativ
application	applikation
applications	applikation
applicative	applikativ
applicatively	applikativ
approximation	approximation
approximations	approximation
april	april
apropos	apropos
apses	apsis
aquaria	aquarien
aquarium	aquarium	aquarien
arab	araber	arabisch
arabesk	arabeske
arabesque	arabisch
arabia	arabien
arabian	arabien
arabians	arabien
arabic	arabisch
arcade	arkade
arcades	arkade
archaeologic	archäologisch
archaeological	archäologisch
archaeology	archäologie	archäologisch
archaic	archaisch
archaically	archaisch
archaism	archaisch
archaistic	archaisch
archeology	archäologie	archäologisch
archipelago	archipel
architect	architekt
architectonic	architektonisch
architectonics	architektonik
architects	architekt
architecture	architektur
archive	archiv
archives	archiv
arctic	arktisch
ardent	arten
are	ar
areal	areal	real
arena	arena
arenas	arena
argentine	argentinien
argentines	argentinien
argon	jargon
argons	jargon
argue	arg
argument	argument	argumentieren
argumentation	argumentation
argumentative	argumentativ
argumentatively	argumentativ
argumentive	argumentativ
arguments	argument
argus	arg
aria	arie	arier
arias	arie
aries	arie
arisen	arsen
aristocracies	aristokratie
aristocracy	aristokrat	aristokratie
aristocrat	aristokrat
aristocratic	aristokratisch
aristocratically	aristokratisch
aristocrats	aristokrat
arithmetic	arithmetisch
arithmetical	arithmetisch
arithmetically	arithmetisch
arithmetician	arithmetisch
arithmetics	arithmetik
arizona	arizona
arizonan	arizona
ark	harken
arkansas	arkansas
arm	arm
armada	armada
armadas	armada
armature	armatur
armatured	armatur
armband	armband
armenia	armenien
armenians	armenien
armer	arm
armies	armieren
arming	armieren
arnica	arnika
arnicas	arnika
aroma	aroma	aromen
aromas	aroma
aromatic	aromatisch
aromatically	aromatisch
arose	rose
around	rund
arrangement	arrangement
arrayer	array
arrays	array
arrear	areal
arrest	arrest
arrester	arrest
arresting	arrest
arrestment	arrest
arrestor	arrest
arrests	arrest
arrive	arrivieren
arrives	arrivieren
arriving	arrivieren
arrogance	arroganz	arrogant
arrogant	arrogant
arrogantly	arrogant
arrogating	arrogant
ars	ar	arsen	asse
arse	arsen	asse
arsenal	arsenal	arsen
arsenals	arsenal
arsenate	arsenal
arsenic	arsen	arsenal
arsenical	arsenal
arsenous	arsen	arsenal
arses	arsen	asse
arsis	asse
arson	arsen
art	art	arten	hart
artefact	artefakt
arterial	arterie
arteries	arterie
artery	arterie
article	artikel
articulation	artikulation
artifact	artefakt
artifacts	artefakt
artillery	artillerie
artily	artig
artiness	art
artist	artist	artistisch
artiste	artist
artistic	artistisch	artist
artistically	artistisch
artists	artist
arts	art	arten	hart
arty	art	arten	artig
arum	rum	aroma
as	as	hasen
asbestic	asbest
asbestos	asbest
ascetic	asket
asea	see
aseptic	septisch
aseptically	septisch
asexual	sexual	sexuell
asexuality	sexualität	sexual
asexually	sexual	sexuell
asexuals	sexual
ash	asche
ashen	asche	haschen
ashes	asche
ashier	schier
asian	asiate
asians	asiens
asiatic	asiatisch
aside	seiden
asides	seiden
ask	asche
asked	asket
asocial	sozial
aspect	aspekt
aspects	aspekt
asper	aster
aspers	aster
asphalt	asphalt
asphaltic	asphalt
asphalts	asphalt
asphaltum	asphalt
aspic	aspik
aspics	aspik
aspirant	aspirant
aspirants	aspirant
aspiration	aspiration
aspirations	aspiration
ass	asse	as
assemble	assembler	assemblieren
assembler	assembler
assemblers	assembler
assent	hassen
asses	asse
assess	asse
assessor	assessor
assessors	assessor
asset	asse
assisi	assisi	asse
assist	asse
assistance	assistenz
assistant	assistent
assistants	assistent
assisting	assistent
association	assoziation
associations	assoziation
associatively	assoziativ
associativity	assoziativität
assortment	sortiment
assortments	sortiment
asst	asse
assyria	assyrien
aster	aster
astern	aster
asters	aster
asthma	asthma
asthmas	asthma
astir	stirn
astound	stunde
astrologer	astrologe
astrologist	astrologe
astrology	astrologie
astronaut	astronaut
astronautics	astronautik
astronauts	astronaut
astronomic	astronomisch
astronomical	astronomisch
astronomically	astronomisch
astronomy	astronomie
astute	stute
astutely	stute
aswarm	schwarm
aswoon	schwung
asyla	asyl
asylum	asyl
asymmetric	asymmetrisch
asymmetrical	asymmetrisch
asymmetrically	asymmetrisch
asymmetries	asymmetrie
asymmetry	asymmetrisch	asymmetrie
asynchronous	asynchron
asystematic	systematisch
atelier	atelier
ateliers	atelier
atheism	atheismus
atheist	atheist
atheistic	atheist
atheists	atheist
athena	athen
athens	athen
athlete	athlet
athletic	athletik
athletics	athletik
atingle	angel	angler	angeln
atlantic	atlantisch	atlantik
atlas	atlas	atlantis
atma	atem	atmen
atman	atmen
atmans	atmen
atmosphere	atmosphäre
atmospheres	atmosphäre
atmospheric	atmosphärisch
atmospherical	atmosphärisch
atmospherically	atmosphärisch
atoll	atoll
atolls	atoll
atom	atom
atomic	atom
atomist	atom
atopic	utopisch
attach	attache
attache	attache
attacher	attache
attaches	attache
attack	attacke
attacker	attacke
attest	attest
attester	attest
attestor	attest
attests	attest
attractable	attraktiv
attractant	attraktiv
attracted	attraktiv
attracting	attraktion
attraction	attraktion
attractions	attraktion
attractive	attraktiv
attractively	attraktiv
attracts	attraktion
attribute	attribut
auberges	aubergine
auction	auktion
auctioning	auktion
auctions	auktion
audience	audienz
audiences	audienz
auditoria	auditorien
auditories	auditorien
auditorium	auditorien
auf	auf
august	august
augusta	august
auguster	august
augustly	august
austere	auster
australia	australien
australian	australien	australisch	australier
australians	australien
australis	australien
autarchy	autarkie
autarky	autarkie
authentic	authentisch
authentically	authentisch
authenticated	authentisch
author	autor
authority	autorität
authorize	autorisieren
authorizes	autorisieren
auto	auto
autobahn	autobahn
autobahns	autobahn
autobiographies	autobiographie
autobiography	autobiographie
autobus	autobus
autodidact	autodidakt
autodidactic	autodidaktik
autodidacts	autodidakt
automat	automat
automata	automat
automate	automat
automatic	automatisch	automatik
automatically	automatisch
automatics	automatik
automating	automation
automation	automatisierung	automation
automatism	automatisierung	automatismus	automatisch
automatization	automatisierung
automatize	automatisieren
automatizes	automatisieren
automatizing	automatisierung
automaton	automat
automats	automat	automation
automobile	automobil
autonomic	autonom
autonomies	autonomie
autonomous	autonom
autonomously	autonom
autonomy	autonomie
autopsies	autopsie
autopsy	autopsie
avantgarde	avantgarde
aver	aber
averse	verse
aversely	verse
aversion	aversion	version
aversions	aversion	version
aviary	vier
avocado	avocado
avocadoes	avocado
awl	ahle
awless	ahle
awls	ahle
axiom	axiom
axiomatic	axiomatisch
axiomatically	axiomatisch
azalea	azalee
aztecs	azteken
baa	ma
baal	saal
baals	saal
baas	maas
babe	babel	baby
babel	babel	bibel
babels	babel	bibel
babes	babies
babies	babies
babul	babel
babuls	babel
babylon	babylon
babylonian	babylonisch
bacchic	bach
bach	bach	bat
back	backen
backed	backen
backer	backen
backing	backen
backup	backup
bacteria	bakterie
bacterial	bakteriell	bakterie
bacterially	bakteriell
bacteriologist	bakteriologe
bacterium	bakterie
bad	bad	baden	bat
baddy	bad
bade	baden	bad	bat
badminton	badminton
bads	baden
bagatelle	bagatelle
bagatelles	bagatelle
bagged	bagger
bagging	bagger
baggy	bagger
baghdad	bagdad
bahamas	bahamas
bait	bart
baits	bart
balance	balance
balancer	balance
balances	balance
balboa	balboa
balboas	balboa
balcony	balkon
bald	bald
baldish	baldig
bale	ball
baled	ballen
baler	maler
balers	ballern	maler
bali	bali
balk	balken
balkan	balkan
balkans	balkan
balked	balken
balker	balken
balkiness	balken
balking	balken
ball	ball	ballen
ballad	ballade
ballades	ballade
ballads	ballade
ballast	ballast
ballasting	ballast
ballasts	ballast
balled	ballen
baller	ballern
ballerina	ballerina
ballerinas	ballerina
ballers	ballern
ballet	ballett
ballistic	ballistisch
ballistically	ballistisch
ballistician	ballistisch
ballistics	ballistik
ballo	ballon	ball
balloon	ballon
balloons	ballon
ballot	ballon
balls	ball	ballen
bally	ball	fußball
balsam	balsam
balsamic	balsam
baltic	baltisch
ban	bang	bann
banal	banal
banalities	banalität
banality	banalität	banal
banally	banal
banana	banane
banco	bank
band	band	bande	sand
bandage	bandage
bandager	bandage
bandages	bandage
bander	bänder
banders	bänder
bandit	bandit
bandits	bandit
bands	bande
bandy	band
bang	bang	band	bangen
banged	bangen
banging	bangen
bangkok	bangkok
bangs	bang	sang
banjo	banjo
banjoes	banjo
bank	bank	bang
banned	banner	bannen
banner	banner
banners	banner
banning	bannung	bann
banns	bann	bannen
bans	bang
bantam	santa
bantu	bantu
baptise	baptist
baptist	baptist
baptists	baptist
baptize	baptist
baptized	baptist
baptizer	baptist
bar	bar	bart
barb	bar
barbara	barbar
barbarian	barbarisch
barbaric	barbarisch	barbar
barbarically	barbarisch
barbarious	barbarisch	barbar
barbarism	barbarisch
barbarous	barbar	barbarisch
barcelona	barcelona
bard	bart	barde	bar
bardes	barde
bardic	barde
bards	barde
bare	bar	barren
bared	bar
barely	barrel
bareness	barren
barge	barg
baric	bar
baring	bar
baritone	bariton
barium	barium	bar
bark	bark	mark
barn	bar
barometer	barometer
barometers	barometer
barometry	barometer
baron	baron	bar
baroness	baron
barons	baron
barony	baron
baroque	barock
barrack	barracke
barracuda	barracuda
barracudas	barracuda
barre	barren
barred	barren
barrel	barrel
barreling	barrel
barrels	barrel
barren	barren
barrens	barren
barricade	barrikade
barricader	barrikade
barricades	barrikade
barrier	barriere
bars	bar
barter	bart
bas	base
basal	basisch
basalt	basalt
basaltic	basalt
basalts	basalt
base	base	basieren
basely	basel	base
baser	base
bases	base	basis
bashes	masche
basic	basisch	basis	base
basically	basisch
basify	basieren
basilica	basilika
basilicas	basilika
basing	basis
basins	basis
basis	basis	base
bask	basken
basked	basken
basketball	basketball
basketballs	basketball
basking	basken
basque	basken
basques	basken
basses	base
bassist	bassist
bast	bast
bastard	bastard
bastardy	bastard
baste	bast
bastille	bastille
bastilles	bastille
bastion	bastion
bastions	bastion
basts	bast	bastion
bat	bat
bate	bat
bath	bat
batik	batik
bating	bat
baton	bat	beton
bats	bat
batteries	batterie
battery	batterie
batts	matt
bauxite	bauxit
bawl	mahl
bawled	mahlen
bawls	mahl
bayed	bayer
bays	bais
bazar	basar
bazars	basar
be	bier
beachy	beachten
bead	bei
beast	beste
beastie	bestie
beasties	bestie
beat	bett
beaujolais	beaujolais
became	bekam
beck	becken
becked	becken
becking	becken
bedder	bieder
bedders	bieder
bedeck	bedecken
bedecked	bedecken
bedecking	bedecken
bedight	bedacht	bedachte
bedrug	betrug
beefsteak	steak	steak
beer	bier	beere
beers	bier
beery	bier	beere
beet	beet	bieten
beetle	bieten
beets	beet	bieten
befall	befallen
befallen	befallen
befalling	befallen
befalls	befallen
beg	biegen
began	begann
begin	beginn	beging	beginnen
beginning	beginn
begins	beging
begonia	begonie
begonias	begonie
begum	biegen
begun	biegung	beginn
behalf	behalf	behelf
behove	behoben
beige	beige
beiges	beige
beigy	beige
being	bein
belay	belag
belayed	belagert
belfast	belfast
belgian	belgien
belgians	belgien
belgium	belgien
belgrade	belgrader
belie	beliegen
belief	belief
bell	bellen
belle	bellen
belled	bellen
belles	bellen
belletristic	belletristisch
bells	bellen
belongs	belang
ben	bern
benchmark	benchmark
bend	band
bendy	band
benzene	benzin
benzin	benzin
benzine	benzin
benzol	benzol
berate	beraten	berater
berated	beraten	berater
berates	beraten	berater
berating	beraten	berater
berg	berg	bergen
bergh	berg
bergs	berg
berlin	berlin	berliner
berliners	berliner
berlins	berlin
berm	beim
bermuda	bermuda
berry	beere
beryl	beryll
beryllium	beryll
besetting	besetzung
besiege	besieger	besiegen
besieged	besieger	besiegen
besieger	besieger
besiegers	besieger
besieges	besieger
besieging	besieger	besiegen
best	beste
bestial	bestie
bestiality	bestie
bestir	bestie
bests	beste	betten
bestseller	bestseller
bet	bett	betten	beten
bete	betten	beten	bett
betel	betel
betels	betel
betes	betten	beten
bethel	betel
betime	beten
betony	beton
betray	betrag	betrag
betrayed	betragen
betrayer	betragen
bets	betten	beten
betta	betten	bett
betted	betten
better	betten	bett
betting	betten	bett
bettor	bett
betty	bett	betten
bevies	bewiesen
bey	bei	beten
bias	bias
bib	biber
bible	bibel
biblical	biblisch
biblically	biblisch
bibliographies	bibliographie
bibliography	bibliographie
bibulous	bibel
biceps	bizeps
bid	bit
bidden	binden
bidder	bieder
bidders	bieder
biddy	binden
bide	bit
bider	wider	widern
biders	widern
bidirectional	bidirektional
biens	biene
bier	bier
biers	bier
bigamies	bigamie
bigamist	bigamie
bigamy	bigamie
bikini	bikini
bilateral	bilateral
bilaterally	bilateral
bill	billet
billet	billet
billeter	billet
billeting	billet
billets	billet
billiard	billard
billing	billig
billings	billig
billion	billion
billions	billion
bin	binnen	bin
binal	bin
binaries	binär
binary	binär
bind	binden	wind
binder	binden
bindery	binden
binding	bindung	binden
bindings	bindung
bindle	binden
binds	binden
binge	bingen
binges	bingen
bingos	bingen
binned	binnen
bins	bin
bio	bier
biochemic	biochemisch
biochemical	biochemisch
biochemically	biochemisch
biogenic	biogen
biographic	biographisch
biographies	biographie
biography	biographie	biografie
biologic	biologisch
biological	biologisch
biologically	biologisch
biologics	biologie
biologies	biologie
biologist	biologe
biology	biologie	biologisch
biotechnological	biotechnologisch
bird	wird	wirt
birmingham	birmingham
birth	wirth
bisque	wisch
bit	bit	bitten
bite	bit	bitten
biter	bitter	bit
biters	bitter
biting	bit
bits	bit	bitten
bitte	bitten	bitter
bitted	bitten
bitten	bitten
bitter	bitter	bitten
bittered	bitter
bittering	bitter
bitterly	bitter
bittern	bitter
bitters	bitter
bitting	bitten
bitts	bitten
bitty	bitten	bitter
bitumen	bitumen
bitumens	bitumen
bizarre	bizarr
bizonal	bizone
bizones	bizone
blamable	blamabel
blanc	blank
blandness	blindheit
blank	blank
blare	blasen
blared	blasen
blase	blasen
blasphemous	blasphemisch
blasting	blasen
blat	blatt
blatant	eklatant
blatantly	eklatant
blatter	blatt
blatting	blatt
blaze	blasen
blazed	blasiert	blasen
blazer	blasen
blazes	blasen
bleating	belang
bled	bart
blend	blenden
blended	blenden
blender	blenden
blending	blendung	blenden
blends	blenden
blesser	bläser
blessers	bläser
blesses	blässe
blest	bläst
blether	blätter	blättern
blethered	blätter
blethers	blätter
blind	blind
blindness	blindheit
blink	blinken
blinked	blinken
blinker	blinken
blinking	blinken
blitz	blitz
blitzed	blitzen
blitzes	blitzen
bloc	block
block	block
blockade	blockade
blockader	blockade
blockades	blockade
blockage	block
blond	blond
blonde	blond
blouson	blouson
blousons	blouson
blousy	bluse
bluff	bluff
bluffed	bluffen
boa	boa
boas	boa
boat	boot
boats	boot
bocce	bocken
bocces	bocken
bock	bock	bocken
bod	boden	bude
bode	boden
boded	boden
bodega	boden
bodes	boden
bodice	boden
bodices	boden
boding	boden
bods	boden
body	boden
bog	bog
bogota	bogota
bogs	bog
bogus	bog
bolivia	bolivien
bolivias	bolivien
bologna	bologna
bolognas	bologna
bolster	polster
bolstered	polster
bolsters	polster
bomb	bombe
bombastic	bombastisch
bombastically	bombastisch
bombe	bombe
bomber	bombe
bombes	bombe
bon	bon	bonn
bona	bon
bonbon	bonbon
bonbons	bonbon
bond	bund
bone	bon	bonus
boned	boniert
bong	bon
bonier	boniert
boning	bon
bonkers	bunker
bonny	bonn
bono	bon	bonus
bonos	bonus
bons	bon
bonsai	bonsai
bonum	bon
bonus	bonus
bony	bon
bonze	bonze
bonzes	bonze
boo	bus
boon	bon
boons	bon
boos	boot
boost	boot
boosts	boot
boot	boot
booted	booten
booth	boot
booting	boot
boots	boot
bootstrapping	bootstrapping
booty	boot	booten
bopper	popper
boppers	popper
bordello	bordell
bordures	bordüre
bort	borte
borts	borte
borty	borte
bosque	busch
boston	boston
bostons	boston
bot	bot	bote	boten
botanic	botanisch	botanik
botanical	botanisch
botanies	botanik
botany	botanik
both	bote	bot
bother	butter
bothered	butter
bougainvillea	bougainville
bough	bug	burg
bouillabaisse	bouillabaisse
bouillon	bouillon
bouillons	bouillon
boulevard	boulevard
bounce	bund
bounced	bunker
bouncer	bunker
bouncers	bunker
bouncy	bunt
bound	bund
bounty	bunt
bourg	burg
bourgs	burg
bouse	bus	busen
boused	busen	busch
bouses	busen
boutique	boutique
boutiques	boutique
bowl	bohle
bowler	bohle
bowless	bohle
bowls	bohle
box	box	boxen
boxed	boxen	boxer
boxer	boxer	boxen
boxers	boxer
boxes	boxen	box
boxiness	boxen
boxing	boxen	boxer
boxy	box
boycott	boykott
boycotts	boykott
boys	boy
bra	brie
bract	trakt
brae	brie
brag	tragen
brahman	brahmane
brahmanism	brahmanismus
brahmans	brahmane
braid	brand
brake	bremsen
braked	bremsen
brakes	bremsen
branch	branche
branches	branche
brand	brand	branden
branded	branden
branding	branden
brands	branden
brandy	brand	branden
brasilia	brasilien
brat	braten
brats	braten
brattiness	brett
bratty	brett
braunschweiger	braunschweiger
brave	brav
bravely	brav
brazilian	brasilianisch
breasts	brest
bred	brot
breton	brett
breviaries	brevier
breviary	brevier
brevier	brevier
brie	brie
brief	brief
briefcase	brieftasche
